-------- --------------
 host_id hostname
-------- --------------
       0 c0-0c0s0n0
       1 c0-0c0s0n1
       2 c0-0c0s0n2
       3 c0-0c0s0n3
       4 c0-0c0s1n0
       5 c0-0c0s1n1
       6 c0-0c0s1n2
       7 c0-0c0s1n3
       8 c0-0c0s2n0
       9 c0-0c0s2n1
      10 c0-0c0s2n2
      11 c0-0c0s2n3
      12 c0-0c0s3n0
      13 c0-0c0s3n1
      14 c0-0c0s3n2
      15 c0-0c0s3n3
      16 c0-0c0s4n0
      17 c0-0c0s4n1
      18 c0-0c0s4n2
      19 c0-0c0s4n3
      20 c0-0c0s5n0
      21 c0-0c0s5n1
      22 c0-0c0s5n2
      23 c0-0c0s5n3
      24 c0-0c0s6n0
      25 c0-0c0s6n1
      26 c0-0c0s6n2
      27 c0-0c0s6n3
      28 c0-0c0s7n0
      29 c0-0c0s7n1
      30 c0-0c0s7n2
      31 c0-0c0s7n3
      32 c0-0c0s8n0
      33 c0-0c0s8n1
      34 c0-0c0s8n2
      35 c0-0c0s8n3
      36 c0-0c0s9n0
      37 c0-0c0s9n1
      38 c0-0c0s9n2
      39 c0-0c0s9n3
      40 c0-0c0s10n0
      41 c0-0c0s10n1
      42 c0-0c0s10n2
      43 c0-0c0s10n3
      44 c0-0c0s11n0
      45 c0-0c0s11n1
      46 c0-0c0s11n2
      47 c0-0c0s11n3
      48 c0-0c0s12n0
      49 c0-0c0s12n1
      50 c0-0c0s12n2
      51 c0-0c0s12n3
      52 c0-0c0s13n0
      53 c0-0c0s13n1
      54 c0-0c0s13n2
      55 c0-0c0s13n3
      56 c0-0c0s14n0
      57 c0-0c0s14n1
      58 c0-0c0s14n2
      59 c0-0c0s14n3
      60 c0-0c0s15n0
      61 c0-0c0s15n1
      62 c0-0c0s15n2
      63 c0-0c0s15n3
      64 c0-0c1s0n0
      65 c0-0c1s0n1
      66 c0-0c1s0n2
      67 c0-0c1s0n3
      68 c0-0c1s1n0
      69 c0-0c1s1n1
      70 c0-0c1s1n2
      71 c0-0c1s1n3
      72 c0-0c1s2n0
      73 c0-0c1s2n1
      74 c0-0c1s2n2
      75 c0-0c1s2n3
      76 c0-0c1s3n0
      77 c0-0c1s3n1
      78 c0-0c1s3n2
      79 c0-0c1s3n3
      80 c0-0c1s4n0
      81 c0-0c1s4n1
